Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
8538579	A Cloudlet-based Mobile Computing Model for Resource and Energy Efficient Offloading	2018	https://ieeexplore.ieee.org/abstract/document/8538579	Não	Simulação e Aferição	Não	CloudSim	Não Detalha	Não	1. Moto G4 com CPU Quad-Core Cortex-A53, WLAN 802.11n, LTE Cat4 150/50 Mbit/s	Single-Cloudlet	Tempo e Energia
8761166	Physical-Layer Assisted Privacy-Preserving Offloading in Mobile-Edge Computing	2019	https://ieeexplore.ieee.org/abstract/document/8761166	Não	Simulação e Aferição	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Energia
7913182	A fault-tolerant energy-efficient computational offloading approach with minimal energy and response time in mobile cloud computing	2016	https://ieeexplore.ieee.org/abstract/document/7913182	Sim (Não Realizou Experimentos)	-	-	-	-	-	-	-	-
8359090	A Task-Centric Mobile Cloud-Based System to Enable Energy-Aware Efficient Offloading	2018	https://ieeexplore.ieee.org/abstract/document/8359090	Não	Simulação e Aferição	Não	CloudSim	Não Detalha	Não	120. Moto G4 com CPU Quad-Core Cortex-A53, WLAN 802.11n, LTE Cat4 150/50 Mbit/s	Single-Cloudlet	Energia
8968394	Energy-Aware Collaborative Computation Offloading Over Mobile Edge Computation Empowered Fiber-Wireless Access Networks	2020	https://ieeexplore.ieee.org/abstract/document/8968394	Sim (Short Paper)	-	-	-	-	-	-	-	-
8676215	Optimal Pricing and Service Selection in the Mobile Cloud Architectures	2019	https://ieeexplore.ieee.org/abstract/document/8676215	Não	Simulação	Não	Não Detalha	Math	Não	Não Detalha	Híbrido	Tempo
7307234	Efficient Multi-User Computation Offloading for Mobile-Edge Cloud Computing	2016	https://ieeexplore.ieee.org/abstract/document/7307234	Não	Modelos Analíticos	Não	App de  Reconhecimento de Faces	Math	Não	15 a 50. Não Detalha	Híbrido	Tempo e Energia
7727082	A survey on mobile edge computing	2016	https://ieeexplore.ieee.org/abstract/document/8016573	Sim (Survey)	-	-	-	-	-	-	-	-
7500484	Consumption considered optimal scheme for task offloading in mobile edge computing	2016	https://ieeexplore.ieee.org/abstract/document/7500484	Não	Simulação	Não	MATLAB	Math	Não	100 (simulados, não detalha)	Híbrido	Tempo e Energia
8345635	The W5 Framework for Computation Offloading in the Internet of Things	2018	https://ieeexplore.ieee.org/abstract/document/8345635	Sim (Não Foca em MCC)	-	-	-	-	-	-	-	-
8827481	Computation Offloading in a Mobile Edge Communication Network: A Joint Transmission Delay and Energy Consumption Dynamic Awareness Mechanism	2019	https://ieeexplore.ieee.org/abstract/document/8827481	Não	Simulação	Não	Não Detalha	Streaming	Não	10 a 50 (aumentando gradualmente nas simulações)	MEC	Energia
8458031	Panoptic, Privacy over Edge-Clouds	2018	https://ieeexplore.ieee.org/abstract/document/8458031	Não	Aferição	Não	Trepn Profiler, Google Cloud	ImageTools	Não	8. Tablets Google Nexus com Android 6.0, 2 GB de RAM e uma CPU Dualcore de 2,3 GHz com Bateria de 6700 mAh	Single-Cloudlet	Energia
8254635	On Using Edge Computing for Computation Offloading in Mobile Network	2017	https://ieeexplore.ieee.org/abstract/document/8254635	Não	Aferição	Sim. http://openbiometrics.org/ e https://developer.cisco.com/site/iox/	Algoritmos Local-View e GlobalView	ImageTools e Streaming	Sim. Virtual	Não Detalha	MEC	Tempo e Energia
8620684	Energy-Aware Mobile Edge Computation Offloading for IoT Over Heterogenous Networks	2019	https://ieeexplore.ieee.org/abstract/document/8620684	Não	Simulação	Não	Initialization Algorithm (IA), Device Reassignment Algorithm (DRA), and Device-Server Pair Exchange Algorithm (DSPEA).	Não Detalha	Não	Simula vários dispositivos, mas não detalha a quantidade exata ou suas capacidades	MEC	Energia
9013742	Privacy-Aware Edge Computing Based on Adaptive DNN Partitioning	2019	https://ieeexplore.ieee.org/abstract/document/9013742	Não	Simulação	Não	Oracle, PANDA, No-Learning	ImageTools	Sim. Virtual	1. Raspberry Pi 3B com Quad  Core 1.4 GHz CPU, 1 GB RAM	MEC	Energia
