Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
8470949	Efficient Live Migration of Edge Services Leveraging Container Layered Storage	2019		Sim	-	-	-	-	-	-	-	-
8761970	Latency Constrained Partial Offloading and Subcarrier Allocations in Small Cell Networks	2019	https://ieeexplore.ieee.org/document/8761970	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Energia
8118064	ParGen: A Parallel Method for Partitioning Data Stream Applications in Mobile Edge Computing	2018	https://ieeexplore.ieee.org/document/8118064	Não	Simulação	Não	ParGen, MATLAB	Streaming	Não	3 computadores com 4-core, 2.6G HZ CPU	MEC	Não Detalha
7890067	Multilevel cloud based Tactile Internet system	2017		Sim	-	-	-	-	-	-	-	-
7542156	Mobile-Edge Computing: Partial Computation Offloading Using Dynamic Voltage Scaling	2016	https://ieeexplore.ieee.org/document/7542156	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Energia
8306873	Task Offloading in Heterogeneous Mobile Cloud Computing: Modeling, Analysis, and Cloudlet Deployment	2018	https://ieeexplore.ieee.org/document/8306873	Não	Simulação	Não	Não Detalha	ImageTools	Não	Não Detalha	Cloudlet	Outage probability
8754787	Unified Offloading Decision Making and Resource Allocation in ME-RAN	2019	https://ieeexplore.ieee.org/document/8754787	Não	Simulação	Não	Matlab com CVX tool	Math	Não	20 User Equipments	Híbrido	Energia
8108810	Energy - Service Trade-Off Model for Mobile Cloud Computing	2017	https://ieeexplore.ieee.org/document/8108810	Não	Aferição	Não	Não Detalha	Não Detalha	Não	1 Samsung Galaxy S3 mobile phone, 1 Micromax A116 Canvas mobile phone, 1 opennebula Cloud connected using 3G and two Cloudlets that are connected using WLAN	MCC	Energia
8805612	Cooperative scheduling of multi-core and cloud resources: multi-thread-based MCC offloading strategy	2019	https://ieeexplore.ieee.org/document/8805612	Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MCC	Energia
8945402	A Game-Theoretic Approach to Computation Offloading in Satellite Edge Computing	2020		Não	Simulação	Não	Não Detalha	Não Detalha	Não	Não Detalha	MEC	Average cost of a device
8798668	Deep Reinforcement Learning for Offloading and Resource Allocation in Vehicle Edge Computing and Networks	2019	https://ieeexplore.ieee.org/document/8798668	Não	Simulação	Não	Não Detalha	Não Detalha	Não	5-50 Small Cell Base Stations	MEC	Delay
8403961	Security in Mobile Edge Caching with Reinforcement Learning	2018		Sim	-	-	-	-	-	-	-	-
8360883	Socially-Motivated Cooperative Mobile Edge Computing	2018	https://ieeexplore.ieee.org/document/8360883	Não	Simulação	Sim (https://www.netlab.tkk.fi/tutkimus/dtn/theone/)	The One	Streaming	Não	Não Detalha	Híbrido	Computation cost reduction ratio
7925196	A review of computational offloading in Smart Mobile Devices for mobile cloud computing	2016	https://ieeexplore.ieee.org/document/7925196	Sim (review)	-	-	-	-	-	-	-	-
7816972	Mobility and Context-Aware Offloading in Mobile Cloud Computing	2016	https://ieeexplore.ieee.org/document/7816972	Sim (Short Paper)	-	-	-	-	-	-	-	-
8934466	Offloading SLAM for Indoor Mobile Robots with Edge-Fog-Cloud Computing	2019	https://ieeexplore.ieee.org/document/8934466	Sim (Não Foca em MC)	-	-	-	-	-	-	-	-
8350435	An Efficient Dynamic Offloading Approach Based on Optimization Technique for Mobile Edge Computing	2018	https://ieeexplore.ieee.org/document/8350435	Não	Simulação	Não	Não Detalha	Não Detalha	Não	50 mobile devices	Híbrido	Tempo
