Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Xiong2019538	Task Offloading in UAV-Aided Edge Computing: Bit Allocation and Trajectory Optimization	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062936072&doi=10.1109%2fLCOMM.2019.2891662&partnerID=40&md5=f0a1e496940486c49d2a866101d957e2	Sim								
Kim20191200	Task Popularity-Based Energy Minimized Computation Offloading for Fog Computing Wireless Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071152498&doi=10.1109%2fLWC.2019.2911521&partnerID=40&md5=8e98832fe61e8aff229141d0faaec10f	Sim								
Fan2019162	Churn-resilient task scheduling in a tiered IoT infrastructure	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072080776&doi=10.23919%2fJCC.2019.08.014&partnerID=40&md5=6d6e4f847225e48909e08ad8369520bb	Não (Não usa apps)	Simulação	Não	-	-	Não	1 datacenter, 1 cloudlet, 80 IoT devices	Edge	Total profit, Guarantee rate
Yao2019865	Energy efficient cooperative edge computing with multi-source multi-relay devices	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073519660&doi=10.1109%2fHPCC%2fSmartCity%2fDSS.2019.00126&partnerID=40&md5=4aee356bdae9cd6ec626bc928f71e819	Não (Não usa apps)	Simulação	Não	-	-	Não	20 mobile devices, 10 relay devices, 1 edge server	Edge	Total energy consumption
Yao2019417	Deep reinforcement learning based offloading scheme for mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075634568&doi=10.1109%2fSmartIoT.2019.00074&partnerID=40&md5=6accfd6d4a385d5b40a98c68e5db4196	Sim								
Bao2019535	A two-sided matching approach for distributed edge computation offloading	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074092179&doi=10.1109%2fICCChina.2019.8855906&partnerID=40&md5=6e80d8b59e42697bfaa5578241f9a968	Não (Não usa apps)	Simulação	Não	-	-	Não	3 APs, 30 mobile devices	Edge	Average Latency
Zhang2019234	Mining task offloading in mobile edge computing empowered blockchain	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075633597&doi=10.1109%2fSmartIoT.2019.00043&partnerID=40&md5=63ac9a8faa5cd5f47502f63fa1963720	Não	Simulação	Não		Blockchain	Não	20 mobile devices, 5 edge servers	Edge	Total utility of the mobile devices
Tian2019984	Reinforcement learning based matching for computation offloading in D2D communications	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074064755&doi=10.1109%2fICCChina.2019.8855817&partnerID=40&md5=0834341494c94be2523234ef1877be2b	Sim								
Park2019	Joint offloading and streaming in mobile edges: A deep reinforcement learning approach	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073497304&doi=10.1109%2fVTS-APWCS.2019.8851667&partnerID=40&md5=35258647b68430e0f8948430f6481439	Sim								
Manukumar20191625	A Novel Multi-Objective Efficient Offloading Decision Framework in Cloud Computing for Mobile Computing Applications	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064484714&doi=10.1007%2fs11277-019-06348-4&partnerID=40&md5=8e50ebc0f04ae6951af2aefda71f8324	Não	Aferição	Não	Double a number, Flames puzzle, Word puzzles, Chess game, Image edge detection	Math, ImageTools	Sim, real	4 mobile devices, 60 cloud servers	Cloud	VIrtual machine cost, quality of service
Shi2019507	An Area-based offloading policy for computing offloading in MEC-assisted wireless mesh network	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074065015&doi=10.1109%2fICCChina.2019.8855931&partnerID=40&md5=ef7ac7ecd5eab625fa92a91ae7887b96	Sim								
Guo2019863	Multi-factor based dynamic offloading with coalitional game in mobile cloud computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074090735&doi=10.1109%2fICCChina.2019.8855923&partnerID=40&md5=1167b7609014c023fff855110511abbb	Não	Simulação	Não	Face Recognition	ImageTools	Não especifica	1 mobile device, 3 cloudlets	Cloudlet	Energy consumption
