Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
7944859	Table of contents	2017		Sim								
7474392	[Title page i]	2016		Sim								
7745818	[Title page]	2016		Sim								
8738943	Guest Editorial Emerging Computing Offloading for IoTs: Architectures, Technologies, and Applications	2019		Sim								
8928057	Service Proactive Caching Based Computation Offloading for Mobile Edge Computing	2019		Não	Simulação	Não	Não detalha	Não detalha	Não	1-50 dispositivos simulados	MEC (1 servidor na estação base)	Execution delay e energy consumption; Task size; Número de tasks simultaneas
8731806	Guest Editors’ Introduction: Special Section on Mobile Cloud Computing	2019		Sim								
8523681	Efficient Task Scheduling With Stochastic Delay Cost in Mobile Edge Computing	2019		Sim								
8368990	MEC-aware cell association for 5G heterogeneous networks	2018		Sim								
7915547	Augmented reality based on edge computing using the example of remote live support	2017		Não	Experimentação	Não	AR, Video Tracking	Streaming	Equipamentos reais	1	Edge (1 notebook)	Tempo de transferência e tempo de execução
8937028	Energy Efficiency and Delay Tradeoff for Wireless Powered Mobile-Edge Computing Systems With Multi-Access Schemes	2020		Não	Simulação	Não	Não detalha	Não detalha	Não	Não detalha	MEC (1 MEC server has sufficient computing capability to process the tasks from users within the current time block)	Consumo de energia e tamanho da fila no servidor
8928522	Adaptive Resource Allocation in Future Wireless Networks With Blockchain and Mobile Edge Computing	2020		Sim								
8689240	Optimal Computation and Spectrum Resource Sharing in Cooperative Mobile Edge Computing Systems : (Invited Paper)	2018		Sim								
8109395	QoE-Aware Task Offloading for Time Constraint Mobile Applications	2017		Sim								
9000632	Intelligent Mobile Edge Computing With Pricing in Internet of Things	2020		Sim - não apresenta detalhes do experimento								
8761274	Economical Profit Maximization in MEC Enabled Vehicular Networks	2019										
8730879	Context-Aware Caching with Social Behavior in MEC-Enabled Wireless Cellular Networks	2019										
9013239	Resource Allocation for NOMA MEC Offloading	2019										
8362885	Energy efficient scheduling for IoT applications with offloading, user association and BS sleeping in ultra dense networks	2018										
7828263	Green Cloudlet Network: A Distributed Green Mobile Cloud Network	2017										
7972366	Opportunistic task offloading in vehicular networks	2017										
9013846	Joint Optimization of Task Assignment and Power Allocation for NOMA-Aided MEC Systems	2019										
8109426	Energy-Efficient Resource Allocation for Cache-Assisted Mobile Edge Computing	2017										
8932187	Energy Optimization for Cellular-Connected Multi-UAV Mobile Edge Computing Systems with Multi-Access Schemes	2018										
8924677	A Novel Cross Entropy Approach for Offloading Learning in Mobile Edge Computing	2020										
8885793	Mobile-Edge Computation Offloading and Resource Allocation in Heterogeneous Wireless Networks	2019										
8689194	Intelligent Video Surveillance based on Mobile Edge Networks	2018										
9017135	MEC-Driven UAV Routine Inspection System in Wind Farm under Wind Influence	2019										
7506220	Supporting Mobile Cloud Computing in Smart Cities via Randomized Algorithms	2018										
9013857	Computation Offloading in C-RAN: A Sequential Computation Model	2019										
8928100	Capacity and Rate Maximization in MEC Systems	2019										
8933487	Computation-Efficient Offloading and Trajectory Scheduling for Multi-UAV Assisted Mobile Edge Computing	2020										
7561037	Multi-user computation offloading as Multiple Knapsack Problem for 5G Mobile Edge Computing	2016										
8904387	Task Scheduling for Mobile Edge Computing with Multiple Links	2019										
9016631	UAV-Assisted Multi-Access Edge Computing System: An Energy-Efficient Resource Management Framework	2020										
8406926	Joint load management and resource allocation in the energy harvesting powered small cell networks with mobile edge computing	2018										
7874147	Hermes: Latency Optimal Task Assignment for Resource-constrained Mobile Computing	2017										
9013164	Network Energy Efficient Mobile Edge Computing with Reliability Guarantees	2019										
8377224	SDN-based Local breakout for mobile edge computing in radio access network	2018										
9013434	Joint Resource Optimization for Adaptive Multimedia Services in MEC-Based Vehicular Networks	2019										
8029251	A-Priori Estimation of Computation Times in Fog Networked Robotics	2017										
8555528	Price-based Joint Offloading and Resource Allocation for Ad Hoc Mobile Cloud	2018										
8767017	UAV-Assisted Relaying and Edge Computing: Scheduling and Trajectory Optimization	2019										
9013384	Virtual Resource Allocation for Mobile Edge Computing: A Hypergraph Matching Approach	2019										
8635770	Game-theoretic Learning-based QoS Satisfaction in Autonomous Mobile Edge Computing	2018										
8638800	Dynamic Task Offloading and Resource Allocation for Ultra-Reliable Low-Latency Edge Computing	2019										
8690922	Data Offloading and Sharing for Latency Minimization in Augmented Reality Based on Mobile-Edge Computing	2018										
8798731	Resource Allocation for a UAV-Enabled Mobile-Edge Computing System: Computation Efficiency Maximization	2019										
