Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Tawalbeh2016	Cloudlet-based mobile cloud computing for healthcare applications	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015424714&doi=10.1109%2fGLOCOM.2016.7841665&partnerID=40&md5=0d18be2244a25e6a1052b45be14994ad	Não								
Shobana20164094	Energy efficiency in mobile cloud computing: A survey	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049072945&partnerID=40&md5=af54e0b02a44a61b7c6225d4b20b82a7	Sim (É um survey)								
Sardellitti20181	Optimal association of mobile users to multi-access edge computing resources	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050279521&doi=10.1109%2fICCW.2018.8403594&partnerID=40&md5=56be011dd724ecd8d1a82c74a1254d50	Não (mas experimentos bem rasteiros)								
You20181	Resource management for asynchronous mobile-edge computation offloading	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050271456&doi=10.1109%2fICCW.2018.8403495&partnerID=40&md5=bab734d3a606a5f99f2b5a4ffdaa92e5	não								
Zhou20181	Delay-aware resource management for heterogeneous service collaboration in mobile edge networks	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050301794&doi=10.1109%2fICCW.2018.8403697&partnerID=40&md5=c031ea8091490f777a7a6d7378cec6f1	Sim (workshop)								
Guo20181	Energy efficient computation offloading for multi-access MEC enabled small cell networks	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050273560&doi=10.1109%2fICCW.2018.8403701&partnerID=40&md5=df8b458f9cd842d06584a28d32dc079c	Sim (workshop)								
Tao20181	Stochastic control of computation offloading to a dynamic helper	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050294412&doi=10.1109%2fICCW.2018.8403703&partnerID=40&md5=74b21d48f74d1e5772f40a5a3bcbdd93	não								
Lin2018165	Distributed and Application-Aware Task Scheduling in Edge-Clouds	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065293951&doi=10.1109%2fMSN.2018.000-1&partnerID=40&md5=05076a7366ceacff397b4bba61576c05	não								
Cao2018287	TaSRD: Task Scheduling Relying on Resource and Dependency in Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065922382&doi=10.1109%2fPIC.2018.8706333&partnerID=40&md5=384daac258a6602918a159b404e84446	sim								
Zhang2018	Intelligent Parking Management System Design from a Mobile Edge Computing (MEC) Perspective	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064891224&doi=10.1109%2fVTCFall.2018.8691030&partnerID=40&md5=4579b556d8cf42085aac8a5cc6477265	não								
